Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0805_2012Metric,153.924,-53.848,-90,top
C2,100n,C_0805_2012Metric,157.226,-57.658,-90,top
C3,100n,C_0805_2012Metric,153.924,-57.658,-90,top
D1,1N4448W,D_SOD-123,144.526,-73.786,90,top
D2,1N4448W,D_SOD-123,147.066,-73.786,90,top
D3,1N4448W,D_SOD-123,149.606,-73.786,90,top
D4,1N4448W,D_SOD-123,152.146,-73.786,90,top
D5,1N4448W,D_SOD-123,154.686,-73.786,90,top
D6,1N4448W,D_SOD-123,157.226,-73.786,90,top
D7,1N4448W,D_SOD-123,159.766,-73.786,90,top
D8,1N4448W,D_SOD-123,162.306,-73.786,90,top
D9,1N4448W,D_SOD-123,164.846,-73.786,90,top
D10,1N4448W,D_SOD-123,167.386,-73.786,90,top
D11,1N4448W,D_SOD-123,144.526,-85.978,90,top
D12,1N4448W,D_SOD-123,147.066,-85.978,90,top
D13,1N4448W,D_SOD-123,149.606,-85.978,90,top
D14,1N4448W,D_SOD-123,152.146,-85.978,90,top
D15,1N4448W,D_SOD-123,154.686,-85.978,90,top
D16,1N4448W,D_SOD-123,157.226,-85.978,90,top
D17,1N4448W,D_SOD-123,159.766,-85.978,90,top
D18,1N4448W,D_SOD-123,162.306,-85.978,90,top
D19,1N4448W,D_SOD-123,164.846,-85.978,90,top
D20,1N4448W,D_SOD-123,167.386,-85.978,90,top
D21,1N4448W,D_SOD-123,144.526,-98.934,90,top
D22,1N4448W,D_SOD-123,147.066,-98.934,90,top
D23,1N4448W,D_SOD-123,149.606,-98.934,90,top
D24,1N4448W,D_SOD-123,152.146,-98.934,90,top
D25,1N4448W,D_SOD-123,154.686,-98.934,90,top
D26,1N4448W,D_SOD-123,157.226,-98.934,90,top
D27,1N4448W,D_SOD-123,159.766,-98.934,90,top
D28,1N4448W,D_SOD-123,162.306,-98.934,90,top
D29,1N4448W,D_SOD-123,164.846,-98.934,90,top
D30,1N4448W,D_SOD-123,167.386,-98.934,90,top
D31,1N4448W,D_SOD-123,152.146,-105.918,90,top
D32,1N4448W,D_SOD-123,154.686,-105.918,90,top
D33,1N4448W,D_SOD-123,157.226,-105.918,90,top
D34,1N4448W,D_SOD-123,159.766,-105.918,90,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,155.954,-37.51,180,top
J2,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,167.391,-44.196,-90,top
J3,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,145.029,-43.942,90,top
R1,5.1k,R_0805_2012Metric,153.924,-45.974,-90,top
R2,5.1k,R_0805_2012Metric,157.226,-45.974,-90,top
R3,330R,R_0805_2012Metric,153.924,-49.784,-90,top
R4,10K,R_0805_2012Metric,157.226,-49.784,-90,top
SW1,SW_PUSH,Kailh_socket_MX,62.051965,-42.407664,-15,top
SW2,SW_PUSH,Kailh_socket_MX,83.542633,-35.806944,-15,top
SW3,SW_PUSH,Kailh_socket_MX,103.521281,-34.849163,-15,top
SW4,SW_PUSH,Kailh_socket_MX,120.607367,-44.686569,-15,top
SW5,SW_PUSH,Kailh_socket_MX,138.022154,-53.297249,-15,top
SW6,SW_PUSH,Kailh_socket_MX,173.635846,-53.297249,15,top
SW7,SW_PUSH,Kailh_socket_MX,191.050633,-44.686569,15,top
SW8,SW_PUSH,Kailh_socket_MX,208.136719,-34.849163,15,top
SW9,SW_PUSH,Kailh_socket_MX,228.115367,-35.806944,15,top
SW10,SW_PUSH,Kailh_socket_MX,249.606035,-42.407664,15,top
SW11,SW_PUSH,Kailh_socket_MX,57.121462,-60.808551,-15,top
SW12,SW_PUSH,Kailh_socket_MX,78.61213,-54.207831,-15,top
SW13,SW_PUSH,Kailh_socket_MX,98.590778,-53.25005,-15,top
SW14,SW_PUSH,Kailh_socket_MX,115.676865,-63.087456,-15,top
SW15,SW_PUSH,Kailh_socket_MX,133.091651,-71.698136,-15,top
SW16,SW_PUSH,Kailh_socket_MX,178.566349,-71.698136,15,top
SW17,SW_PUSH,Kailh_socket_MX,195.981135,-63.087456,15,top
SW18,SW_PUSH,Kailh_socket_MX,213.067222,-53.25005,15,top
SW19,SW_PUSH,Kailh_socket_MX,233.045869,-54.207831,15,top
SW20,SW_PUSH,Kailh_socket_MX,254.536538,-60.808551,15,top
SW21,SW_PUSH,Kailh_socket_MX,52.190959,-79.209438,-15,top
SW22,SW_PUSH,Kailh_socket_MX,73.681628,-72.608718,-15,top
SW23,SW_PUSH,Kailh_socket_MX,93.660276,-71.650937,-15,top
SW24,SW_PUSH,Kailh_socket_MX,110.746362,-81.488343,-15,top
SW25,SW_PUSH,Kailh_socket_MX,128.161148,-90.099023,-15,top
SW26,SW_PUSH,Kailh_socket_MX,183.496852,-90.099023,15,top
SW27,SW_PUSH,Kailh_socket_MX,200.911638,-81.488343,15,top
SW28,SW_PUSH,Kailh_socket_MX,217.997724,-71.650937,15,top
SW29,SW_PUSH,Kailh_socket_MX,237.976372,-72.608718,15,top
SW30,SW_PUSH,Kailh_socket_MX,259.467041,-79.209438,15,top
SW31,SW_PUSH,Kailh_socket_MX,101.016823,-113.935773,-25,top
SW32,SW_PUSH,Kailh_socket_MX,122.315488,-119.642732,-30,top
SW33,SW_PUSH,Kailh_socket_MX,189.342512,-119.642732,30,top
SW34,SW_PUSH,Kailh_socket_MX,210.641177,-113.935772,25,top
U1,CH552T,TSSOP-20_4.4x6.5mm_P0.65mm,156.178,-64.594,0,top
